Name,Description,Price,Quantity,Category,Barcode
Laptop HP Pavilion 15,Intel Core i5 8GB RAM 256GB SSD,599.99,15,Computadoras,7501234567890
Mouse Logitech MX Master 3,Mouse inalámbrico ergonómico,99.99,30,Accesorios,7501234567891
Teclado Mecánico Corsair K95,RGB Cherry MX Red,179.99,20,Accesorios,7501234567892
Monitor Samsung 27 4K,Panel IPS 60Hz,349.99,12,Monitores,7501234567893
Auriculares Sony WH-1000XM4,Cancelación de ruido activa,299.99,25,Audio,7501234567894
SSD Kingston 1TB NVMe,Lectura 3500MB/s,89.99,40,Almacenamiento,7501234567895
Memoria RAM Corsair 16GB DDR4,3200MHz,79.99,35,Componentes,7501234567896
Webcam Logitech C920,Full HD 1080p,69.99,18,Accesorios,7501234567897
Router TP-Link Archer AX50,WiFi 6 Dual Band,129.99,22,Redes,7501234567898
Impresora HP LaserJet Pro,Monocromática WiFi,199.99,10,Impresoras,7501234567899
